Shipment ID,Origin,Destination,Status,Estimated Arrival Time
2001,Phoenix,Phoenix,Delivered,2024-08-16 19:40:55.770858
2002,Chicago,Chicago,Delayed,2024-08-16 20:40:55.770889
2003,Los Angeles,Chicago,Delivered,2024-08-16 18:40:55.770897
2004,Phoenix,Chicago,In Transit,2024-08-16 11:40:55.770902
2005,New York,Chicago,In Transit,2024-08-16 04:40:55.770907
2006,Chicago,Phoenix,In Transit,2024-08-16 05:40:55.770912
2007,Phoenix,Houston,In Transit,2024-08-16 12:40:55.770917
2008,New York,Chicago,Delivered,2024-08-16 11:40:55.770922
2009,Houston,Los Angeles,In Transit,2024-08-16 04:40:55.770927
2010,Houston,Chicago,Delayed,2024-08-16 10:40:55.770931
2011,Chicago,Los Angeles,In Transit,2024-08-16 14:40:55.770936
2012,Phoenix,New York,In Transit,2024-08-16 18:40:55.770940
2013,Phoenix,Chicago,Delayed,2024-08-16 20:40:55.770945
2014,New York,Los Angeles,In Transit,2024-08-16 06:40:55.770949
2015,Houston,Chicago,In Transit,2024-08-16 22:40:55.770954
2016,Houston,Phoenix,Delayed,2024-08-16 12:40:55.770958
2017,Los Angeles,Houston,In Transit,2024-08-16 15:40:55.770962
2018,Phoenix,New York,Delivered,2024-08-16 15:40:55.770967
2019,Chicago,Houston,Delivered,2024-08-16 16:40:55.770971
2020,Houston,Houston,In Transit,2024-08-16 02:40:55.770976
2021,Chicago,Phoenix,Delivered,2024-08-16 23:40:55.770980
2022,Chicago,Los Angeles,Delayed,2024-08-16 13:40:55.770985
2023,Los Angeles,New York,Delivered,2024-08-16 17:40:55.770989
2024,Houston,Houston,In Transit,2024-08-16 18:40:55.770994
2025,Chicago,Chicago,In Transit,2024-08-16 10:40:55.770998
2026,Houston,Los Angeles,In Transit,2024-08-16 19:40:55.771004
2027,Los Angeles,New York,In Transit,2024-08-16 14:40:55.771009
2028,New York,Houston,Delayed,2024-08-16 10:40:55.771014
2029,New York,Houston,In Transit,2024-08-16 18:40:55.771018
2030,New York,Los Angeles,Delayed,2024-08-16 04:40:55.771022
2031,Chicago,Chicago,Delayed,2024-08-16 07:40:55.771027
2032,Chicago,Houston,In Transit,2024-08-16 05:40:55.771034
2033,Chicago,Phoenix,Delivered,2024-08-16 15:40:55.771038
2034,Houston,Phoenix,Delivered,2024-08-16 10:40:55.771043
2035,Phoenix,Los Angeles,Delivered,2024-08-16 12:40:55.771047
2036,Houston,New York,In Transit,2024-08-16 17:40:55.771052
2037,New York,Los Angeles,Delivered,2024-08-16 08:40:55.771056
2038,Phoenix,Los Angeles,Delayed,2024-08-16 06:40:55.771060
2039,Los Angeles,New York,Delivered,2024-08-16 22:40:55.771065
2040,Phoenix,New York,Delayed,2024-08-16 17:40:55.771069
2041,Los Angeles,New York,Delivered,2024-08-16 09:40:55.771074
2042,Chicago,Chicago,Delayed,2024-08-16 22:40:55.771078
2043,New York,Houston,Delivered,2024-08-16 21:40:55.771083
2044,Chicago,Los Angeles,Delivered,2024-08-16 11:40:55.771087
2045,Houston,Phoenix,Delayed,2024-08-16 22:40:55.771091
2046,Chicago,New York,Delivered,2024-08-16 16:40:55.771096
2047,Chicago,New York,Delivered,2024-08-17 00:40:55.771100
2048,Phoenix,New York,Delivered,2024-08-16 04:40:55.771105
2049,Los Angeles,Houston,In Transit,2024-08-16 06:40:55.771109
2050,New York,Phoenix,In Transit,2024-08-16 15:40:55.771113
2051,Chicago,Los Angeles,Delivered,2024-08-16 19:40:55.771118
2052,Chicago,Houston,Delivered,2024-08-16 20:40:55.771122
2053,Los Angeles,Chicago,In Transit,2024-08-17 00:40:55.771127
2054,Houston,Phoenix,Delayed,2024-08-16 06:40:55.771131
2055,Houston,Phoenix,Delivered,2024-08-16 20:40:55.771135
2056,Phoenix,Chicago,Delivered,2024-08-16 21:40:55.771139
2057,Los Angeles,Los Angeles,Delayed,2024-08-16 15:40:55.771144
2058,Chicago,Phoenix,Delayed,2024-08-16 02:40:55.771148
2059,Houston,New York,Delayed,2024-08-16 09:40:55.771153
2060,Houston,Los Angeles,Delivered,2024-08-16 19:40:55.771157
2061,New York,Houston,Delayed,2024-08-16 04:40:55.771161
2062,New York,Chicago,Delayed,2024-08-16 16:40:55.771166
2063,Phoenix,New York,In Transit,2024-08-16 22:40:55.771170
2064,Houston,New York,Delayed,2024-08-16 02:40:55.771174
2065,Houston,New York,Delivered,2024-08-16 13:40:55.771179
2066,Los Angeles,Houston,Delivered,2024-08-16 16:40:55.771184
2067,New York,New York,In Transit,2024-08-16 16:40:55.771188
2068,New York,Phoenix,Delivered,2024-08-16 15:40:55.771193
2069,Houston,New York,Delivered,2024-08-16 14:40:55.771197
2070,Phoenix,Los Angeles,In Transit,2024-08-16 06:40:55.771201
2071,Houston,Phoenix,Delayed,2024-08-16 10:40:55.771206
2072,Chicago,New York,Delayed,2024-08-16 15:40:55.771210
2073,New York,Houston,Delivered,2024-08-16 23:40:55.771214
2074,New York,New York,In Transit,2024-08-16 19:40:55.771219
2075,Los Angeles,Houston,Delayed,2024-08-16 19:40:55.771223
2076,Phoenix,Phoenix,Delivered,2024-08-16 10:40:55.771227
